服務區,小型車,小型車停車位座標,大型車,大型車停車位座標,無障礙,無障礙停車位座標,復康巴士,復康巴士停車位座標,婦幼專用停車位,婦幼專用停車位座標
中壢服務區,184格,"25.003806, 121.252028","大客貨車24格
聯結車14格","大客貨車25.003972, 121.252722
聯結車25.003472, 121.252583",8格,"25.003806, 121.252028",1格,"25.003972, 121.251500",4格,"25.003806, 121.252028"
湖口服務區(南下),190格,"24.857000, 121.009028","大客貨車26格
聯結車24格","大客貨車24.857417, 121.008861
聯結車24.857639, 121.008861",8格,"D區24.85709,121.00927                 F區24.85772,12100961 24.85679,121.00916               加油站24.85819,121.00900",1格,"24.85738,121.00934",4格,"24.85780,12100972"
湖口服務區(北上),144格,"24.860750, 121.011722","大客貨車38格
聯結車10格","大客貨車24.861444, 121.011917
聯結車24.862111, 121.012056",5格,"B區24.86131,121.01214  24.86189,121.01241  加油站24.86289,121.01238",1格,"24.6190,121.01250",4格,"24.86102,121.01201"
關西服務區,412格,"24.800667, 121.193194","大客貨車81格
聯結車36格","大客貨車24.800361, 121.191056
聯結車24.799583, 121.191667",12格,"24.800667, 121.193194",1格,"24.800361, 121.191056",10格,"24.800667, 121.193194"
石碇服務區,136格,"靠106乙縣道(A區)
25.008667, 121.645361 
衛戍營舍旁(B區) 
25.008897, 121.646287                        靠大客車停車區(C區)
25.009167, 121.645444",大客車10格,"25.009417, 121.645444",2格,"25.008611, 121.645639",1格,"25.009250, 121.645028",3格,"25.008722, 121.645389"
蘇澳服務區,293格,"24.620892, 121.816074","大客貨車27格
聯結車18格","大客貨車24.620928, 121.814949
聯結車24.620529, 121.814899",7格,"24.620995, 121.815588",1格,"24.621038, 121.814828",7格,"24.620978, 121.816020"
泰安服務區(南下),186格,"24.330832, 120.711691","大客貨車32格
聯結車8格","24.329924, 120.710899",4格,"24.330613, 120.711926",1處(僅復康巴士上下車處1處),"24.329891, 120.710211",4格,"24.330792, 120.711429"
泰安服務區(北上),194格,"24.328461, 120.716649","大客貨車30格
聯結車12格","24.329282, 120.716189",4格,"24.328419, 120.716772",1處(僅復康巴士上下車處1處),"24.328476, 120.716814",4格,"24.328270, 120.716781"
西螺服務區(南下),187格,"23.788590, 120.477030","大客車15格
大貨車4格
聯結車9格","23.788493, 120.476843",5格,"23.788596, 120.477433",1處(僅復康巴士上下車處1處),"23.788738, 120.476803",4格,"23.788530, 120.477376"
西螺服務區(北上),191格,"23.788543, 120.478843","大客車17格
大貨車11格
聯結車9格","23.788856, 120.479958",5格,"23.788623, 120.479330",1處(僅復康巴士上下車處1處),"23.788560, 120.479946",4格,"23.788803, 120.479466"
西湖服務區(南下),131格,"24.565827, 120.759163","大客貨車31格

聯結車20格 ","24.565016, 120.758908",4格,"24.566004, 120.759362
24.565544, 120.759143",1處(僅復康巴士上下車處1處),"24.567527, 120.750751",2格,"24.567417, 120.750894"
西湖服務區(北上),170格,"24.564733, 120.760552","大客貨車32格

聯結車18格 ","24.565735, 120.760862",4格,"24.564736, 120.760529",1處(僅復康巴士上下車處1處),"24.566467, 120.752234",3格,"24.566337, 120.752263"
清水服務區,709格,"24.280512, 120.601126","大客車32格
大貨車66格
聯結車31格","24.283111, 120.602184",14格,"24.281047, 120.601607","1處(僅復康巴士上下車處1處)
復康巴士停車位僅設臨停區無固定車位","24.283044, 120.602149",14格,"24.281047, 120.601607"
南投服務區,427格,"23.898600, 120.711016","大客車40格
大貨車48格
聯結車50格","23.898217, 120.711193
23.900395, 120.709407",11格,"23.899145, 120.711715
23.900651, 120.710841
23.900656, 120.710685",0,,9格,"23.899854, 120.711125"
古坑服務區,355格,"23.607803, 120.544703","大客80格
聯結車39格","23.607894, 120.543428
23.609753, 120.543984",9格,"23.607747, 120.544534   23.609076, 120.545260",1格,"23.607968, 120.544009",7格,"23.607543, 120.544466"
東山服務區,391格,"23.287320, 120.398374","大客車7格
聯結車35格
大貨車63格","23.286410, 120.399456",7格,"23.287076, 120.398771",1格,"23.286748, 120.398973",7格,"23.287289, 120.398714"
關廟服務區(南下),131格,"22.930043, 120.350043","大客貨車23格
聯結車17格","22.930087, 120.351068",3格,"22.929766, 120.350864",1格,"22.929785, 120.351047",2格,"22.928892, 120.352893"
關廟服務區(北上),141格,"22.929143, 120.353128","大客貨車15格
聯結車17格","22.929193, 120.352012",3格,"22.929548, 120.352216",1格,"22.929494, 120.352044",2格,"22.930287, 120.350186"
新營服務區(南下),116格,"23.340033, 120.311358","大客貨車18格
聯結車9格","23.340748, 120.311417",4格,"23.340263, 120.311638",1格,"23.340470, 120.311970",2格,"23.340327, 120.311742"
新營服務區(北上),127格,"23.339777, 120.312835","大客貨車30格
聯結車16格","23.339008, 120.312867",2格,"23.339520, 120.312598",1格,"23.339290, 120.312237",2格,"23.339407, 120.312505"
仁德服務區(南下),110格,"22.905481, 120.265354","大客貨車6格
聯結車10格","22.905481, 120.265354",3格,"22.906094, 120.265163",1格,"22.905755, 120.265098",2格,"22.906026, 120.265033"
仁德服務區(北上),118格,"22.906447, 120.266121","大客貨車17格
聯結車10格","22.906029, 120.266506",3格,"22.906573, 120.266069",0,"22.906222, 120.266364",2格,"22.906573, 120.266069"
